title,price,date,location_site,category_site,area,post_type,room_count,parking,mortgage,rent,elevator,age
130 متری چند قدمی پارک قیطریه,,2023-08-12 09:46:10,tehran-province,house-apartment-for-rent,130,آپارتمان,2.0,True,2000000000.0,۲۰۰۰۰۰۰۰۰۰ ,True,2.0
خانه ویلایی بازسازی شده روستای بشل,3200000000.0,2023-08-12 09:46:10,tehran-province,houses-apartments-for-sale,530,خانه و کلنگی,2.0,True,,,,4.0
فروش آپارتمان 90 متر در سهروردی جنوبی(بهار شیراز),10000000000.0,2023-08-12 09:46:10,tehran-province,houses-apartments-for-sale,90,آپارتمان,2.0,True,,,True,
143 متر سند تک برگ خادم اباد شهریار,3950000000.0,2023-08-12 09:46:10,tehran-province,houses-apartments-for-sale,143,آپارتمان,3.0,True,,,True,4.0
180 متری / نوساز سند تک برگ ویو دار در طبقات بالا,19500000000.0,2023-08-12 09:46:10,tehran-province,houses-apartments-for-sale,180,آپارتمان,3.0,True,,,True,
اپارتمان خام بهترین گزینه لرای سرمایه گذاری,750000000.0,2023-08-12 09:46:10,razavi-khorasan,houses-apartments-for-sale,85,آپارتمان,2.0,True,,,True,
138متر شهرک پناهی 2خوابه,,2023-08-12 09:46:10,ardabil-province,house-apartment-for-rent,138,خانه,2.0,,250000000.0,۲۵۰۰۰۰۰۰۰ ,,3.0
خانه نوسازپشت بازار ملت,,2023-08-12 09:46:11,ardabil-province,house-apartment-for-rent,140,آپارتمان,2.0,True,100000000.0,۱۰۰۰۰۰۰۰۰ ,,
پنت‌هاوس/عشق‌آباد/فول‌/نوساز150متر,2600000000.0,2023-08-12 09:46:11,razavi-khorasan,houses-apartments-for-sale,150,آپارتمان,3.0,True,,,True,
اجاره65متری فول امکانات خوش نقشه در بلوار امام رضا,,2023-08-12 09:46:11,alborz,house-apartment-for-rent,65,آپارتمان,1.0,True,100000000.0,۱۰۰۰۰۰۰۰۰ ,True,8.0
اجاره آپارتمان اداری 120 متر در نظرآباد,,2023-08-12 09:46:11,alborz,house-apartment-for-rent,120,آپارتمان,4.0,,600000000.0,۶۰۰۰۰۰۰۰۰ ,True,6.0
اجاره آپارتمان 65 متری محدوده پنجم / تک خواب تخلیه,,2023-08-12 09:46:11,alborz,house-apartment-for-rent,65,آپارتمان,1.0,,100000000.0,۱۰۰۰۰۰۰۰۰ ,,13.0
اجاره آپارتمان 120 متر در مارلیک,,2023-08-12 09:46:11,alborz,house-apartment-for-rent,120,آپارتمان,2.0,,400000000.0,۴۰۰۰۰۰۰۰۰ ,,2.0
میرزاطاهر - آپارتمان صفر 90 متری - فروش یا معاوضه با مغازه,4300000000.0,2023-08-12 09:46:11,isfahan-province,houses-apartments-for-sale,90,آپارتمان,2.0,True,,,True,
آپارتمان نقلی با نورعالی,1900000000.0,2023-08-12 09:46:11,isfahan-province,houses-apartments-for-sale,91,آپارتمان,2.0,True,,,True,1.0
معاوضه واحد75متری پارکشهر,2000000000.0,2023-08-12 09:46:11,isfahan-province,houses-apartments-for-sale,75,آپارتمان,2.0,,,,True,17.0
خانه ویلایی در اجگرد,2000000000.0,2023-08-12 09:46:11,isfahan-province,houses-apartments-for-sale,500,خانه و کلنگی,3.0,,,,,17.0
اجاره 100متر منزل,,2023-08-12 09:46:11,ilam-province,house-apartment-for-rent,100,خانه,1.0,,80000000.0,۸۰۰۰۰۰۰۰ ,,12.0
منزل2طبقه طبقه دوم اجاره داده میشه,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,85,آپارتمان,1.0,,100000000.0,۱۰۰۰۰۰۰۰۰ ,,5.0
خانه ای ویلایی حیاط داروبزرگ باکلیه ی امکانات جهت رهن,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,180,ویلا,2.0,True,250000000.0,۲۵۰۰۰۰۰۰۰ ,,10.0
رهن واحد 75متری,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,75,آپارتمان,2.0,True,120000000.0,۱۲۰۰۰۰۰۰۰ ,,14.0
متقاضی منزل اجاره ای,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,100,خانه,2.0,,800000000.0,۸۰۰۰۰۰۰۰۰ ,,9.0
طبقه بالا خانه,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,85,خانه,2.0,,300000000.0,۳۰۰۰۰۰۰۰۰ ,,22.0
اپارتمان فاز7 پشت ترمینال,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,90,آپارتمان,2.0,True,200000000.0,۲۰۰۰۰۰۰۰۰ ,True,5.0
خانه طبقه بالا دو خواب تازه بازسازی شده فاز1,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,140,خانه,2.0,True,450000000.0,۴۵۰۰۰۰۰۰۰ ,,6.0
رهن و کرایه لکس شیک دارای پاکیتگ,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,180,خانه,2.0,True,300000000.0,۳۰۰۰۰۰۰۰۰ ,,6.0
خانه ویلایی 150 متر,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,150,ویلا,2.0,True,,,,17.0
دربست 55متری,,2023-08-12 09:46:11,razavi-khorasan,house-apartment-for-rent,55,خانه,1.0,,145000000.0,۱۴۵۰۰۰۰۰۰ ,,22.0
آپارتمان فاز2,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,80,آپارتمان,2.0,,100000000.0,۱۰۰۰۰۰۰۰۰ ,True,12.0
رهن خانه ویلایی 200 متر,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,200,خانه,2.0,True,,,,22.0
