title,price,date,location_site,category_site,area,post_type,room_count,parking,mortgage,rent,elevator,age
رهن واجاره خانه50 متر,,2023-08-21 17:39:21,west-azerbaijan,house-apartment-for-rent,50.0,خانه,1.0,,30000000.0,3000000.0,,17.0
واحد 100 متری اجاره,,2023-08-21 17:39:21,west-azerbaijan,house-apartment-for-rent,100.0,آپارتمان,1.0,,100000000.0,1500000.0,,11.0
آپارتمان بالا مغازه بر جاده تبریز قجلو,,2023-08-21 17:39:21,west-azerbaijan,house-apartment-for-rent,150.0,آپارتمان,2.0,,100000000.0,1000000.0,,8.0
فروش کلنگی 90 متر واقع در کوچە 12 فرودین,,2023-08-21 17:39:21,west-azerbaijan,houses-apartments-for-sale,90.0,خانه و کلنگی,2.0,,,,,17.0
فروش مسکونی 60 متر تک خوابە خلفا راشدین قیمت مناسب,,2023-08-21 17:39:21,west-azerbaijan,houses-apartments-for-sale,60.0,خانه و کلنگی,1.0,True,,,,12.0
اجاره 70متر خانه طبقه اول یک واحد جدا,,2023-08-21 17:39:22,west-azerbaijan,house-apartment-for-rent,70.0,آپارتمان,1.0,,80000000.0,2700000.0,,16.0
معاوضه دو واحد مسکن مهر با خونه در فرهنگیان,,2023-08-21 17:39:22,ardabil-province,houses-apartments-for-sale,85.0,آپارتمان,2.0,True,,,True,6.0
اجاره اپارتمان 200 متری 2 خواب 2 پذیرایی در دیزیچه,,2023-08-21 17:39:22,isfahan-province,house-apartment-for-rent,200.0,آپارتمان,2.0,True,200000000.0,3000000.0,,22.0
اجاره خونه 125 متری,,2023-08-21 17:39:22,isfahan-province,house-apartment-for-rent,200.0,خانه,2.0,,100000000.0,3000000.0,,12.0
آپارتمان نقلی با امکانات خ ساحل,,2023-08-21 17:39:22,isfahan-province,house-apartment-for-rent,57.0,آپارتمان,1.0,True,150000000.0,5000000.0,True,3.0
فروش آپارتمان 132 متر در شیخ صدوق شمالی,13200000000.0,2023-08-21 17:39:22,isfahan-province,houses-apartments-for-sale,132.0,آپارتمان,3.0,True,,,True,3.0
120 متر اپارتمان سجاد,12500000000.0,2023-08-21 17:39:22,razavi-khorasan,houses-apartments-for-sale,120.0,آپارتمان,2.0,True,,,,21.0
آپارتمان 78 متر پاکان شهر جدید هشتگرد,1000000000.0,2023-08-21 17:39:22,alborz,houses-apartments-for-sale,70.0,آپارتمان,2.0,,,,,10.0
منزل دو طبقه ویلایی,1700000000.0,2023-08-21 17:39:22,razavi-khorasan,houses-apartments-for-sale,230.0,خانه و کلنگی,3.0,True,,,,4.0
خانه ویلایی دوطبقه 40متر,900000000.0,2023-08-21 17:39:22,alborz,houses-apartments-for-sale,40.0,,0.0,,,,,
فروش اپارتمان 110متر,3300000000.0,2023-08-21 17:39:22,razavi-khorasan,houses-apartments-for-sale,110.0,آپارتمان,2.0,True,,,,22.0
آپارتمان یک خواب در چاهشک,820000000.0,2023-08-21 17:39:22,razavi-khorasan,houses-apartments-for-sale,55.0,آپارتمان,1.0,True,,,True,2.0
فروش آپارتمان دوخوابه درمجتمع پردیس انتهای بلواروکیل آباد,2650000000.0,2023-08-21 17:39:22,razavi-khorasan,houses-apartments-for-sale,75.0,آپارتمان,2.0,True,,,,22.0
اجاره آپارتمان 120 متری در خیابان بهار,,2023-08-21 17:39:23,east-azerbaijan,house-apartment-for-rent,120.0,آپارتمان,2.0,True,150000000.0,7000000.0,True,12.0
اجاره نیایش 75 متر,,2023-08-21 17:39:23,ardabil-province,house-apartment-for-rent,75.0,آپارتمان,2.0,,170000000.0,100000.0,True,12.0
خواستار آپارتمان برای اجاره,,2023-08-21 17:39:23,ardabil-province,house-apartment-for-rent,100.0,آپارتمان,2.0,True,150000000.0,10000000.0,True,9.0
100متر طبقه دوم از یک ساختمان دو طبقه در شهرک توحید,,2023-08-21 17:39:23,ardabil-province,house-apartment-for-rent,100.0,خانه,2.0,,150000000.0,25000000.0,,2.0
آپارتمان 55متری,,2023-08-21 17:39:23,razavi-khorasan,house-apartment-for-rent,55.0,آپارتمان,1.0,,40000000.0,2500000.0,,8.0
آپارتمان بدون مالک هاشمیه 8,,2023-08-21 17:39:23,razavi-khorasan,house-apartment-for-rent,280.0,آپارتمان,4.0,True,500000000.0,50000000.0,True,7.0
اجاره ویلا 90 متر در کاشمر,,2023-08-21 17:39:24,razavi-khorasan,house-apartment-for-rent,90.0,ویلا,2.0,True,120000000.0,3200000.0,,3.0
اجاره آپارتمان 110 متر در کاشمر,,2023-08-21 17:39:24,razavi-khorasan,house-apartment-for-rent,110.0,آپارتمان,1.0,,85000000.0,2000000.0,,17.0
رهن آپارتمان 100 متری در کاشمر,,2023-08-21 17:39:24,razavi-khorasan,house-apartment-for-rent,100.0,آپارتمان,2.0,True,190000000.0,,,17.0
اجاره آپارتمان 150 متر در کاشمر,,2023-08-21 17:39:24,razavi-khorasan,house-apartment-for-rent,150.0,آپارتمان,2.0,True,20000000.0,5750000.0,,27.0
اجاره ویلا 130 متر در کاشمر,,2023-08-21 17:39:24,razavi-khorasan,house-apartment-for-rent,130.0,ویلا,3.0,True,400000000.0,2500000.0,,1.0
اجاره آپارتمان 75 متر در کاشمر,,2023-08-21 17:39:24,razavi-khorasan,house-apartment-for-rent,75.0,آپارتمان,2.0,True,80000000.0,1500000.0,True,4.0
اجاره ویلا 70 متر در کاشمر,,2023-08-21 17:39:24,razavi-khorasan,house-apartment-for-rent,70.0,ویلا,1.0,True,10000000.0,5000000.0,,11.0
110 متر /9 واحدی /اوایل امیریه,,2023-08-21 17:39:24,razavi-khorasan,house-apartment-for-rent,110.0,آپارتمان,2.0,True,430000000.0,,True,1.0
آپارتمان 160 متری/3خواب/تک واحد/ابتدای صیاد,,2023-08-21 17:39:24,razavi-khorasan,house-apartment-for-rent,160.0,آپارتمان,3.0,True,300000000.0,15000000.0,True,6.0
رهن ویلایی 130 متری در کاشمر,,2023-08-21 17:39:24,razavi-khorasan,house-apartment-for-rent,130.0,خانه,3.0,True,300000000.0,,,7.0
اجاره آپارتمان 91 متر در کاشمر,,2023-08-21 17:39:24,razavi-khorasan,house-apartment-for-rent,91.0,آپارتمان,2.0,True,100000000.0,2700000.0,,11.0
ملک فروشی حاشیه توس 75,8000000000.0,2023-08-21 17:39:24,razavi-khorasan,houses-apartments-for-sale,155.0,خانه و کلنگی,2.0,,,,,16.0
اجاره آپارتمان 140 متر در کاشمر,,2023-08-21 17:39:25,razavi-khorasan,house-apartment-for-rent,140.0,آپارتمان,3.0,True,200000000.0,4200000.0,,17.0
اجاره آپارتمان 100 متر در کاشمر,,2023-08-21 17:39:25,razavi-khorasan,house-apartment-for-rent,100.0,آپارتمان,2.0,True,120000000.0,1250000.0,,12.0
یک خانه د‌و طبقه باقیمت مناسب تخفیفم داره,,2023-08-21 17:39:25,razavi-khorasan,houses-apartments-for-sale,123.0,خانه و کلنگی,1.0,,,,,
فورش منزل ویلای320متر,3500000000.0,2023-08-21 17:39:25,razavi-khorasan,houses-apartments-for-sale,320.0,خانه و کلنگی,2.0,,,,,16.0
خانه ویلایی475 متر,,2023-08-21 17:39:25,razavi-khorasan,houses-apartments-for-sale,475.0,خانه و کلنگی,2.0,True,,,,17.0
رهن آپارتمان گلبهار50متر,,2023-08-21 17:39:25,razavi-khorasan,house-apartment-for-rent,50.0,آپارتمان,1.0,True,90000000.0,500000.0,,14.0
طبقه همکف تمیز و تخلیه,,2023-08-21 17:39:25,razavi-khorasan,house-apartment-for-rent,85.0,خانه,1.0,True,60000000.0,4000000.0,,7.0
اپارتمان 74 متری قاسم آباد,,2023-08-21 17:39:25,razavi-khorasan,house-apartment-for-rent,74.0,آپارتمان,2.0,True,260000000.0,2000000.0,,14.0
